Time_Point,Voltage
0,-9.455528359520689e-14
1,1.343475620830324e-14
2,1.1098762391665802e-13
3,4.076816562445561e-14
4,2.197854197809767e-14
5,1.2877540267910316e-13
6,6.17280020780957e-14
7,1.0708638683617771e-13
8,2.6791061589628568e-14
9,4.609428189535621e-14
10,-1.283195703342915e-14
11,-4.366246575738406e-14
12,-7.5915913453595e-15
13,-4.5251364743686044e-14
14,1.013495111538518e-14
15,-2.550054967023664e-13
16,6.736029521804369e-14
17,2.311135837282545e-13
18,6.022755255303982e-14
19,4.9914489807402985e-14
20,-4.521473271831185e-14
21,4.055004888778792e-14
22,1.3210617970460134e-13
23,2.4037392169591505e-13
24,1.4018964103926507e-13
25,1.265445401212402e-13
26,1.2041988801298086e-13
27,1.9429804879847212e-13
28,-5.102111572995338e-14
29,-9.820066224981292e-14
30,1.5558563212137737e-13
31,-1.3553152459331242e-13
32,1.3446927642130015e-13
33,3.503525936862168e-15
34,2.442753607905496e-14
35,2.8786317355698525e-13
36,2.6571828132202784e-13
37,-9.520802692175194e-14
38,5.872063665187274e-14
39,1.1331199006250777e-13
40,1.6061965595679023e-13
41,1.195194831628575e-13
42,2.7964326747698956e-13
43,2.1231232670680875e-13
44,1.4057860479009081e-13
45,2.813367491290663e-13
46,1.7464069481061223e-13
47,-3.08298351008427e-14
48,5.283932966725299e-14
49,1.7209723290447665e-13
50,8.439995519437049e-14
51,9.915422130353679e-14
52,2.558857345701577e-13
53,1.8164343345095902e-13
54,1.9985226132555668e-13
55,2.9124801690957924e-13
56,1.3925911703331687e-13
57,2.5123020364159943e-13
58,2.341016876266665e-13
59,6.481082722299977e-14
60,2.4436380545586714e-13
61,2.938427654397543e-13
62,1.791600981749783e-13
63,2.1035440339000806e-13
64,1.8612250668599971e-13
65,2.1768591888034425e-13
66,4.744801220189099e-13
67,3.717315383066929e-13
68,1.7950034898149918e-13
69,3.376468501691901e-14
70,4.300729226166583e-13
71,3.7023112556279444e-13
72,2.504692030619893e-13
73,1.4814421989097214e-13
74,4.79006027698141e-16
75,7.210241544180039e-14
76,2.3191122487332547e-13
77,3.422475163699992e-13
78,2.7822837093237007e-13
79,1.752857453636503e-13
80,1.8210391045165086e-13
81,2.5837789317545955e-13
82,3.9504051562760836e-13
83,2.7255977579797425e-13
84,2.9636596300865435e-13
85,8.842025180594881e-14
86,5.767336241322852e-14
87,-5.832504763589722e-14
88,-1.9554909511419354e-14
89,2.0187179255179296e-13
90,9.410106926297631e-14
91,1.465577522615729e-13
92,6.55994935146235e-14
93,1.9299935488087981e-13
94,2.0954638346161661e-13
95,1.5510148373659096e-13
96,9.366398731301185e-14
97,2.641830439519619e-13
98,8.432990594737972e-15
99,2.588475421677242e-14
100,1.3056280630321785e-13
101,1.539484161223671e-13
102,8.774401977118607e-14
103,1.7782194515537007e-13
104,8.491982458106689e-14
105,1.7732631597367413e-13
106,2.069382765387218e-14
107,5.291106093934516e-14
108,8.044852064792991e-14
109,5.338529368111881e-14
110,-1.3836889465799383e-13
111,-2.9237017581145347e-15
112,1.5554077605592352e-13
113,6.432823512377644e-14
114,1.060779425100087e-13
115,1.718810006224105e-14
116,1.3144865699205189e-13
117,-3.4576775870977655e-14
118,4.216025707520142e-14
119,2.6545341516767277e-14
120,-4.860440609500573e-14
121,5.1087694902730565e-14
122,1.519718654619297e-13
123,6.220951194762449e-14
124,7.04067478340444e-14
125,1.2656963813812335e-13
126,4.334685555299834e-14
127,1.2738986213988477e-13
128,1.448646347591687e-13
129,5.885204750212381e-14
130,-3.899113281047701e-14
131,7.861019114602081e-14
132,-1.583023651793829e-14
133,-4.3195078266568756e-15
134,6.850547083903728e-14
135,8.722785765575522e-14
136,3.6637226689005943e-13
137,1.9944157655802092e-13
138,1.526457562122245e-13
139,3.548282499098549e-15
140,2.8771495502442155e-14
141,-6.174770297791379e-14
142,6.108800664304581e-14
143,5.750472328359552e-14
144,-6.51931187466133e-14
145,1.1240325558187752e-13
146,3.1819186719785163e-14
147,1.0460880415381916e-13
148,3.895674877033509e-14
149,-1.2415199420382632e-13
150,-8.857004325752275e-14
151,-9.4040588090783e-14
152,-1.2156368554230237e-13
153,-1.1364128904953948e-13
154,-6.692407348008064e-14
155,-2.3097488213648602e-15
156,4.9961602725409167e-14
157,5.293250390832956e-14
158,2.3586712111923256e-14
159,6.621377387751491e-14
160,6.032399472304968e-14
161,3.905767400133687e-14
162,4.975037490899136e-14
163,-1.174443442149222e-13
164,6.562800146428053e-14
165,5.796764665376818e-14
166,8.462431641889577e-14
167,-4.811751050804131e-14
168,-1.0668178852089416e-14
169,1.6701099402970257e-13
170,7.383588463285615e-14
171,-2.0927819883782382e-13
172,-1.1190778185909316e-14
173,-8.948684110488956e-14
174,1.9622517782614128e-13
175,-7.615214278684759e-16
176,-5.097881728698269e-14
177,-2.737625783186279e-13
178,-2.210015469732655e-13
179,-9.83926218923546e-14
180,4.067583921938314e-14
181,4.55370248375995e-14
182,3.0646450698980625e-15
183,1.2965573539895686e-13
184,1.1400934173239277e-13
185,7.318375405068818e-14
186,1.0269943019554159e-14
187,-1.2220105254006898e-13
188,-2.080042830052242e-13
189,-9.278497085601871e-14
190,-4.115451926890469e-14
191,1.751611166179212e-13
192,3.0040227259612945e-13
193,2.115073935085401e-13
194,1.163061784234105e-13
195,2.4578241490828292e-14
196,-8.971546370027389e-14
197,-1.1966709511293417e-14
198,-2.6553240302543163e-14
199,-6.788078151875694e-14
200,-1.0407084787696822e-13
201,7.625306191469577e-14
202,-9.593679006515076e-14
203,-1.4458345862576953e-13
204,-3.7136423352440864e-13
205,-1.2844265328616822e-13
206,-6.263109522292311e-14
207,-8.243552724173468e-14
208,-2.5250164927537916e-13
209,-7.870085038020543e-14
210,-1.1837022324593106e-13
211,-8.894219950893436e-14
212,-3.9849556453627894e-14
213,-2.6926686754129196e-13
214,-2.1106742620033631e-13
215,-1.1553338801040792e-13
216,-1.5730211130306728e-13
217,5.263079122419423e-14
218,2.6955902892741055e-14
219,-2.051779162322396e-13
220,-4.9892700268392495e-14
221,1.0161828663113201e-13
222,6.294091204480198e-14
223,-1.9242089321502635e-13
224,6.71932052088397e-14
225,7.37216924983612e-14
226,4.514494723087163e-14
227,5.346860986413163e-14
228,2.3380949279880233e-13
229,4.4127745571585406e-14
230,2.861623494465391e-14
231,-1.8793412324527414e-14
232,-1.8452304006314175e-13
233,-3.576185481723662e-14
234,2.5252528156552497e-14
235,-1.2617823444240807e-13
236,-2.888356960834796e-13
237,-9.163803477428504e-14
238,1.9307050708952845e-14
239,-3.909950836774587e-14
240,-5.77078334856458e-14
241,-7.27209755481915e-15
242,2.716867447072336e-13
243,6.834316397054382e-14
244,8.328423365330829e-14
245,3.933797670529168e-14
246,-8.436463072269414e-14
247,-4.6302720398680404e-14
248,-1.1776439550505765e-13
249,1.1711412809507514e-13
250,1.0368780349424372e-13
251,-3.8203087071140565e-14
252,-8.351566066417231e-14
253,3.612196071226357e-14
254,4.4824238428766544e-14
255,-5.6311532140915773e-14
256,-1.010063786336259e-14
257,-3.100079746317794e-14
258,2.0125462221042764e-13
259,1.745083809672664e-13
260,-1.77776067553387e-14
261,-7.64365978292734e-14
262,-6.950331464064929e-14
263,1.8249268428698897e-13
264,-2.2875433696348115e-14
265,6.196989954443783e-14
266,1.2366366174704884e-13
267,-2.917001403305629e-14
268,1.2823211681204635e-13
269,1.3591593128868868e-13
270,1.268525936257773e-13
271,1.0558355991698608e-13
272,9.934013830344475e-14
273,3.0368721849710635e-14
274,1.3270610227032295e-13
275,9.799532367610155e-14
276,6.75895063608848e-14
277,8.924158004372428e-15
278,1.554771363320346e-13
279,1.5353009409894158e-13
280,1.0670452147131197e-13
281,-2.4543169121764963e-13
282,-7.369223753295533e-15
283,-3.669705990110742e-14
284,1.4923138547957968e-13
285,2.0281864824506276e-13
286,1.6389952341343978e-14
287,1.1293626882084756e-13
288,9.147642139576546e-14
289,2.0580914235957204e-13
290,4.9378366527532174e-14
291,8.616805616042501e-14
292,1.7400800785473195e-13
293,1.031180241655536e-14
294,1.480419638750537e-13
295,2.1205266762306253e-13
296,5.348405487101182e-15
297,-9.672389462725044e-14
298,2.5754049498337043e-13
299,1.364893169437594e-13
300,-6.647044722038625e-14
301,-1.1791846745148863e-14
302,2.9285974075621064e-14
303,8.187431476299746e-14
304,-4.7804080369776454e-14
305,6.107435007239999e-14
306,2.5650276527722063e-13
307,1.6269472614369404e-13
308,1.8444155865137432e-13
309,1.0966641283090208e-13
310,3.080226004708239e-14
311,1.1296033406079302e-13
312,1.6009287389517682e-13
313,2.919504334696067e-13
314,9.189018171386476e-14
315,5.172707273260807e-14
316,2.2050315001813365e-13
317,8.809283067044142e-14
318,6.480092372761712e-14
319,2.7480350023565287e-13
320,1.3306740514047935e-13
321,1.506437167845094e-13
322,7.757002359835243e-14
323,1.0701912989021578e-13
324,1.7922636244823192e-13
325,1.3152181543927043e-13
326,2.1751108550149539e-13
327,2.7420619644121594e-13
328,1.874339234642233e-13
329,1.1484061472014627e-13
330,1.0819648391050881e-14
331,1.9641509220249386e-13
332,4.892325237585935e-14
333,1.887773075723723e-13
334,2.2909396967392637e-13
335,2.056191608512859e-13
336,2.982547548652202e-14
337,-4.5853379988986636e-14
338,1.5530267935797936e-13
339,-6.133687049818423e-15
340,1.1703438170443945e-13
341,1.4540487503720468e-13
342,6.851056460952227e-14
343,1.932458643401149e-14
344,8.369207347533313e-14
345,-7.867333073028426e-14
346,-9.063234905419348e-14
347,-4.0369743854747626e-14
348,4.9233350141466917e-14
349,-1.0672402248099083e-13
350,-7.307154972096409e-14
351,-4.1596571842706815e-14
352,-1.2175064993784142e-14
353,2.959222173477989e-14
354,-2.510003084862897e-13
355,-1.0663915175794794e-13
356,7.492721374442248e-14
357,-4.2692037557106646e-14
358,-2.7618374821909033e-14
359,8.014207398608481e-14
360,1.0461937559995668e-13
361,8.157891479458197e-14
362,1.3117607530045953e-13
363,1.8194155613020343e-13
364,3.0884858606493876e-13
365,3.7245173942514583e-13
366,1.6119663569164668e-13
367,1.6500224291278393e-13
368,3.9003728178491324e-14
369,-1.2578881586222941e-14
370,3.515089873842503e-14
371,3.070429072313231e-14
372,2.386029644960021e-13
373,1.2380951113886761e-13
374,2.0832844387432503e-13
375,8.100593100658407e-14
376,-4.699401418740157e-14
377,8.354495141169731e-14
378,2.4368632139624195e-13
379,5.773026895452528e-14
380,-2.8874038170821354e-14
381,5.366216694473811e-14
382,9.978996058294908e-14
383,7.381962169281635e-14
384,1.1365214971720546e-13
385,1.3114920971393476e-13
386,-6.051452983151495e-14
387,1.455626517669653e-13
388,1.5479621342470683e-13
389,4.9225466786218194e-14
390,-5.4646734987003283e-14
391,2.2472551818871149e-13
